Country,Month,Year,Events,Fatalities
Israel,January,2016,1,2
Israel,February,2016,2,0
Israel,March,2016,3,3
Israel,April,2016,3,1
Israel,May,2016,5,0
Israel,June,2016,2,4
Israel,July,2016,0,0
Israel,August,2016,1,0
Israel,September,2016,0,0
Israel,October,2016,2,3
Israel,November,2016,0,0
Israel,December,2016,0,0
Israel,January,2017,5,3
Israel,February,2017,3,0
Israel,March,2017,2,0
Israel,April,2017,1,0
Israel,May,2017,3,0
Israel,June,2017,2,1
Israel,July,2017,1,0
Israel,August,2017,2,0
Israel,September,2017,2,0
Israel,October,2017,1,1
Israel,November,2017,1,0
Israel,December,2017,5,0
Israel,January,2018,0,0
Israel,February,2018,1,0
Israel,March,2018,0,0
Israel,April,2018,4,1
Israel,May,2018,5,0
Israel,June,2018,1,0
Israel,July,2018,3,0
Israel,August,2018,5,0
Israel,September,2018,5,0
Israel,October,2018,3,0
Israel,November,2018,6,2
Israel,December,2018,4,1
Israel,January,2019,5,2
Israel,February,2019,1,1
Israel,March,2019,5,0
Israel,April,2019,0,0
Israel,May,2019,10,5
Israel,June,2019,4,0
Israel,July,2019,6,2
Israel,August,2019,3,0
Israel,September,2019,1,0
Israel,October,2019,7,0
Israel,November,2019,3,0
Israel,December,2019,4,0
Israel,January,2020,2,0
Israel,February,2020,2,0
Israel,March,2020,2,0
Israel,April,2020,7,0
Israel,May,2020,3,0
Israel,June,2020,2,0
Israel,July,2020,4,0
Israel,August,2020,4,1
Israel,September,2020,1,0
Israel,October,2020,11,0
Israel,November,2020,3,0
Israel,December,2020,3,0
Israel,January,2021,4,1
Israel,February,2021,4,2
Israel,March,2021,6,1
Israel,April,2021,11,0
Israel,May,2021,75,12
Israel,June,2021,15,0
Israel,July,2021,7,1
Israel,August,2021,5,0
Israel,September,2021,4,0
Israel,October,2021,4,0
Israel,November,2021,8,0
Israel,December,2021,7,0
Israel,January,2022,16,0
Israel,February,2022,5,0
Israel,March,2022,14,16
Israel,April,2022,12,3
Israel,May,2022,8,3
Israel,June,2022,6,1
Israel,July,2022,4,0
Israel,August,2022,7,0
Israel,September,2022,7,2
Israel,October,2022,5,0
Israel,November,2022,9,2
Israel,December,2022,3,1
Israel,January,2023,3,0
Israel,February,2023,2,0
Israel,March,2023,7,2
Israel,April,2023,12,4
Israel,May,2023,26,3
Israel,June,2023,6,0
Israel,July,2023,4,1
Israel,August,2023,7,1
Israel,September,2023,4,0
Israel,October,2023,129,848
Israel,November,2023,12,9
Israel,December,2023,9,1
Israel,January,2024,6,3
Israel,February,2024,6,3
Israel,March,2024,6,4
Israel,April,2024,10,2
Israel,May,2024,15,0
Israel,June,2024,6,0
Israel,July,2024,11,4
Israel,August,2024,13,5
Israel,September,2024,18,0
Israel,October,2024,46,29
Israel,November,2024,27,5
Israel,December,2024,4,1
Israel,January,2025,2,3
Israel,February,2025,2,2
Israel,March,2025,4,7
Israel,April,2025,1,0
Israel,May,2025,3,1
Israel,June,2025,28,32
Israel,July,2025,2,0
Israel,August,2025,0,0
Israel,September,2025,3,0
Israel,October,2025,2,1
Israel,November,2025,3,0
