Country,Month,Year,Events,Fatalities
Israel,January,2016,5,3
Israel,February,2016,4,1
Israel,March,2016,6,3
Israel,April,2016,4,1
Israel,May,2016,8,0
Israel,June,2016,4,5
Israel,July,2016,3,0
Israel,August,2016,3,0
Israel,September,2016,3,0
Israel,October,2016,6,3
Israel,November,2016,0,0
Israel,December,2016,1,0
Israel,January,2017,8,3
Israel,February,2017,7,0
Israel,March,2017,7,0
Israel,April,2017,2,0
Israel,May,2017,8,1
Israel,June,2017,10,2
Israel,July,2017,3,0
Israel,August,2017,5,0
Israel,September,2017,4,0
Israel,October,2017,2,1
Israel,November,2017,4,1
Israel,December,2017,13,0
Israel,January,2018,8,0
Israel,February,2018,5,0
Israel,March,2018,1,0
Israel,April,2018,10,3
Israel,May,2018,36,0
Israel,June,2018,48,0
Israel,July,2018,71,1
Israel,August,2018,31,0
Israel,September,2018,37,0
Israel,October,2018,33,0
Israel,November,2018,15,2
Israel,December,2018,7,1
Israel,January,2019,14,2
Israel,February,2019,11,1
Israel,March,2019,38,0
Israel,April,2019,10,0
Israel,May,2019,51,5
Israel,June,2019,39,1
Israel,July,2019,17,2
Israel,August,2019,18,0
Israel,September,2019,12,0
Israel,October,2019,13,0
Israel,November,2019,20,0
Israel,December,2019,7,0
Israel,January,2020,20,0
Israel,February,2020,53,0
Israel,March,2020,7,0
Israel,April,2020,17,0
Israel,May,2020,7,0
Israel,June,2020,7,0
Israel,July,2020,4,0
Israel,August,2020,77,1
Israel,September,2020,4,0
Israel,October,2020,25,0
Israel,November,2020,11,0
Israel,December,2020,4,0
Israel,January,2021,29,1
Israel,February,2021,7,2
Israel,March,2021,10,1
Israel,April,2021,30,0
Israel,May,2021,213,17
Israel,June,2021,26,0
Israel,July,2021,16,1
Israel,August,2021,16,0
Israel,September,2021,9,1
Israel,October,2021,5,0
Israel,November,2021,12,0
Israel,December,2021,12,1
Israel,January,2022,25,0
Israel,February,2022,5,0
Israel,March,2022,19,17
Israel,April,2022,19,4
Israel,May,2022,8,3
Israel,June,2022,6,1
Israel,July,2022,7,0
Israel,August,2022,23,0
Israel,September,2022,9,2
Israel,October,2022,7,0
Israel,November,2022,12,2
Israel,December,2022,7,2
Israel,January,2023,5,0
Israel,February,2023,6,0
Israel,March,2023,13,3
Israel,April,2023,20,4
Israel,May,2023,52,3
Israel,June,2023,7,4
Israel,July,2023,7,1
Israel,August,2023,10,3
Israel,September,2023,12,1
Israel,October,2023,541,1737
Israel,November,2023,250,12
Israel,December,2023,272,4
Israel,January,2024,210,4
Israel,February,2024,166,5
Israel,March,2024,212,7
Israel,April,2024,180,4
Israel,May,2024,276,9
Israel,June,2024,247,3
Israel,July,2024,296,9
Israel,August,2024,338,9
Israel,September,2024,378,4
Israel,October,2024,680,38
Israel,November,2024,444,6
Israel,December,2024,24,1
Israel,January,2025,11,3
Israel,February,2025,3,2
Israel,March,2025,10,7
Israel,April,2025,11,0
Israel,May,2025,13,1
Israel,June,2025,91,32
Israel,July,2025,15,0
Israel,August,2025,9,0
Israel,September,2025,20,0
Israel,October,2025,5,2
Israel,November,2025,3,0
