report_date,verified.killed,verified.killed_cum,verified.injured,verified.injured_cum,verified.killed_children,verified.killed_children_cum,verified.injured_children,verified.injured_children_cum,killed_cum,killed_children_cum,injured_cum,injured_children_cum,settler_attacks_cum,flash_source
2023-10-07,6,6,197,197,2,2,31,31,3,0,23,1,3,un
2023-10-08,8,14,127,324,3,5,7,38,13,1,194,1,9,un
2023-10-09,4,18,88,412,0,5,19,57,15,3,295,34,19,un
2023-10-10,5,23,72,484,0,5,7,64,19,3,332,39,29,un
2023-10-11,6,29,85,569,2,7,17,81,26,3,427,62,39,un
2023-10-12,7,36,49,618,0,7,11,92,33,5,500,81,49,un
2023-10-13,17,53,613,1231,6,13,27,119,43,8,700,92,63,un
2023-10-14,3,56,13,1244,2,15,1,120,54,13,1150,106,67,un
2023-10-15,2,58,18,1262,1,16,2,122,61,15,1173,113,70,un
2023-10-16,2,60,23,1285,0,16,0,122,61,15,1176,113,70,un
2023-10-17,3,63,54,1339,0,16,4,126,61,16,1230,117,82,un
2023-10-18,4,67,150,1489,2,18,6,132,64,18,1264,122,86,un
2023-10-19,15,82,160,1649,7,25,9,141,79,20,1404,129,100,un
2023-10-20,2,84,88,1737,2,27,13,154,88,26,1404,134,102,un
2023-10-21,2,86,57,1794,0,27,3,157,88,27,1658,150,103,un
2023-10-22,8,94,75,1869,2,29,4,161,91,27,1704,157,113,un
2023-10-23,2,96,12,1881,0,29,1,162,95,28,1708,157,120,un
2023-10-24,1,97,9,1890,0,29,0,162,95,28,1803,160,136,un
2023-10-25,6,103,87,1977,4,33,4,166,102,31,1859,160,138,un
2023-10-26,2,105,31,2008,1,34,5,171,103,32,1916,168,146,un
2023-10-27,4,109,91,2099,1,35,18,189,108,33,1970,174,146,un
2023-10-28,1,110,31,2130,0,35,3,192,109,33,2011,180,154,un
2023-10-29,5,115,74,2204,0,35,10,202,115,33,2150,193,167,un
2023-10-30,7,122,70,2274,2,37,27,229,121,33,2158,201,171,un
2023-10-31,3,125,25,2299,2,39,9,238,123,34,2159,201,178,un
2023-11-01,4,129,29,2328,0,39,3,241,128,35,2214,234,186,un
2023-11-02,9,138,43,2371,3,42,1,242,132,41,2221,236,186,un
2023-11-03,7,145,24,2395,2,44,7,249,135,42,2309,239,195,un
2023-11-04,1,146,14,2409,0,44,0,249,136,43,2362,241,198,un
2023-11-05,5,151,21,2430,1,45,1,250,141,43,2386,244,202,un
2023-11-06,7,158,24,2454,1,46,3,253,147,44,2404,248,208,un
2023-11-07,2,160,24,2478,0,46,3,256,150,44,2439,251,218,un
2023-11-08,1,161,122,2600,0,46,8,264,150,44,2461,253,222,un
2023-11-09,18,179,94,2694,4,50,7,271,167,45,2558,253,230,un
2023-11-10,1,180,6,2700,1,51,1,272,168,46,2618,253,233,un
2023-11-11,2,182,22,2722,0,51,4,276,169,46,2630,262,235,un
2023-11-12,1,183,9,2731,0,51,2,278,172,46,2630,267,241,un
2023-11-13,8,191,27,2758,0,51,3,281,173,46,2630,275,241,un
2023-11-14,2,193,8,2766,1,52,2,283,182,46,2654,278,244,un
2023-11-15,0,193,4,2770,0,52,1,284,183,47,2659,279,246,un
2023-11-16,6,199,28,2798,0,52,5,289,186,51,2665,282,248,un
2023-11-17,2,201,14,2812,0,52,2,291,191,51,2688,287,251,un
2023-11-18,6,207,90,2902,1,53,60,351,198,52,2782,347,253,un
2023-11-19,2,209,25,2927,0,53,7,358,200,52,2807,355,254,un
2023-11-20,2,211,8,2935,0,53,0,358,201,52,2815,355,256,un
